cnpj;optante_simples;optante_simei
12248478000114;SIM;SIM
12342582000173;SIM;NÃO
12445484000161;SIM;NÃO
12502509000111;SIM;SIM
12502896000196;SIM;NÃO
12535446000108;NÃO;NÃO
12672283000288;NÃO INFORMADO;NÃO INFORMADO
12681280000120;NÃO;NÃO
12807563000841;NÃO;NÃO
12812861000153;SIM;SIM
12855203000149;SIM;SIM
12879147000182;SIM;NÃO
12910802000118;SIM;SIM
12981590000160;SIM;NÃO
13001350000114;SIM;NÃO
13010332000107;SIM;NÃO
13087704000195;SIM;NÃO
13142186000165;SIM;NÃO
13230524000110;SIM;NÃO
13250978000153;NÃO;NÃO
13272662000324;NÃO INFORMADO;NÃO INFORMADO
13325846000143;SIM;NÃO
13548553000125;SIM;NÃO
13591745000114;SIM;SIM
13641442000169;SIM;SIM
13674289000176;NÃO;NÃO
13730794000190;SIM;NÃO
13765489000134;NÃO;NÃO
13776261000140;SIM;SIM
13781314000110;SIM;NÃO
13786500000142;SIM;NÃO
13819486000136;SIM;SIM
13947569000453;NÃO;NÃO
13950707000100;SIM;SIM
14005833000150;SIM;NÃO
14107273000144;SIM;SIM
14110585000107;NÃO;NÃO
14164183000195;SIM;SIM
14311228000107;SIM;NÃO
14360072000154;SIM;NÃO
14380320000129;NÃO;NÃO
14535050000340;NÃO;NÃO
14588848000198;SIM;NÃO
14596257000162;SIM;SIM
14611612000125;SIM;SIM
14634589000194;SIM;SIM
14776142000150;NÃO;NÃO
15020311000190;SIM;SIM
15043138000145;NÃO;NÃO
15058863000197;SIM;SIM
15101405000193;NÃO;NÃO
15107421000193;NÃO;NÃO
15217514000170;SIM;SIM
15253413000155;SIM;SIM
15271439000126;SIM;NÃO
15287368000150;SIM;SIM
15466144000105;NÃO;NÃO
15494559000192;SIM;SIM
15660952000109;NÃO;NÃO
15717597000167;SIM;SIM
15761008000148;NÃO;NÃO
15774612000109;NÃO;NÃO
15780520000131;SIM;NÃO
15798194000190;NÃO;NÃO
16422981000103;SIM;NÃO
16556961000117;SIM;NÃO
16567415000181;SIM;SIM
16596395000177;SIM;SIM
16614075000100;NÃO;NÃO
16737238000134;SIM;NÃO
16752433000133;SIM;SIM
16811931000100;NÃO;NÃO
16902314006401;NÃO;NÃO
16938080000241;SIM;NÃO
16945284000129;NÃO;NÃO
17011779000143;NÃO;NÃO
17033453000117;NÃO;NÃO
17070610000164;SIM;SIM
17071232000133;SIM;SIM
17161241000115;NÃO;NÃO
17182670000179;SIM;NÃO
17218295000250;NÃO;NÃO
17232347000162;SIM;SIM
17239595000135;SIM;SIM
17311471000113;SIM;NÃO
17387302000167;SIM;NÃO
17410830000190;SIM;NÃO
17449429000163;SIM;SIM
17465537000120;SIM;NÃO
17466371000166;NÃO;NÃO
17495895000185;SIM;NÃO
17509133000190;SIM;SIM
17528330000157;NÃO;NÃO
17804665000150;SIM;NÃO
17835082000197;SIM;SIM
18011256000160;SIM;NÃO
18150253000107;SIM;SIM
18172329000103;SIM;SIM
18183935000116;SIM;SIM
18189907000106;SIM;SIM
18243615000104;NÃO;NÃO
18253779000112;NÃO;NÃO
18323356000121;SIM;SIM
18352114000166;SIM;SIM
18442348000102;SIM;NÃO
18507155000184;SIM;SIM
18593512000174;SIM;SIM
18593815000197;NÃO;NÃO
18619025000133;NÃO;NÃO
18649090000101;SIM;SIM
18729956000194;SIM;SIM
18858266000135;SIM;NÃO
18882093000190;NÃO;NÃO
19040714000151;SIM;SIM
19224409000110;SIM;SIM
19328639000129;SIM;SIM
19360869000175;SIM;SIM
19372920000169;SIM;SIM
19406664000183;SIM;NÃO
19462615000168;SIM;NÃO
19462657000107;SIM;SIM
19526748000150;NÃO;NÃO
19535506000123;SIM;NÃO
19578007000113;SIM;NÃO
19716270000121;SIM;NÃO
19720141000107;SIM;NÃO
19775029000173;SIM;SIM
19785634000125;SIM;NÃO
19822545000101;SIM;NÃO
19824428000187;NÃO;NÃO
19836078000179;NÃO;NÃO
19846785000146;NÃO;NÃO
19870145000171;SIM;SIM
19921805000104;SIM;NÃO
20027610000196;SIM;SIM
20130782000190;NÃO;NÃO
20160724000100;SIM;SIM
20196158000277;NÃO;NÃO
20223122000154;SIM;SIM
20314377000122;NÃO;NÃO
20329056000100;SIM;SIM
20335197000127;SIM;NÃO
20341860000104;NÃO;NÃO
20344555000168;SIM;SIM
20353559000102;SIM;NÃO
20387711000178;SIM;SIM
20400711000160;SIM;SIM
20430051000160;SIM;SIM
20535054000169;SIM;SIM
20550180000192;SIM;NÃO
20642357000180;SIM;SIM
20684195000143;NÃO;NÃO
20730306000100;SIM;SIM
20761460000140;SIM;SIM
20782901000190;SIM;SIM
20813943000140;SIM;SIM
20819180000145;SIM;SIM
20911917000155;SIM;SIM
20947690000106;SIM;SIM
20964044000149;SIM;NÃO
21004231000143;NÃO;NÃO
21045775000153;SIM;SIM
21067825000101;NÃO;NÃO
21074883000154;SIM;SIM
21091578000170;SIM;SIM
21471507000101;SIM;SIM
21475315000165;NÃO;NÃO
21475435000162;SIM;SIM
21496381000111;NÃO;NÃO
21541064000170;SIM;SIM
21582629000167;SIM;SIM
21679270000140;SIM;SIM
21745758000129;SIM;SIM
21852990000166;SIM;SIM
21917608000155;SIM;SIM
21949339000109;SIM;SIM
21961806000116;NÃO;NÃO
22053229000127;SIM;SIM
22055773000108;NÃO;NÃO
22067445000121;SIM;SIM
22244477000155;SIM;NÃO
22418915000154;SIM;SIM
22478712000153;SIM;NÃO
22479591000164;SIM;SIM
22556290000197;SIM;NÃO
22564842000109;SIM;NÃO
22607886000179;SIM;SIM
22656867000132;SIM;SIM
22667346000180;SIM;SIM
22742913000116;NÃO;NÃO
22864020000224;NÃO INFORMADO;NÃO INFORMADO
22900946000147;SIM;SIM
22902338005726;NÃO INFORMADO;NÃO INFORMADO
23016883000123;SIM;NÃO
23033820000185;SIM;SIM
23044655000167;SIM;SIM
23108219000295;NÃO INFORMADO;NÃO INFORMADO
23131867000181;SIM;SIM
23149219000152;SIM;NÃO
23222770000184;SIM;SIM
23239287000102;SIM;SIM
23265671000180;NÃO;NÃO
23268180000192;SIM;SIM
23272473000143;SIM;SIM
23286346000101;NÃO;NÃO
23437161000142;SIM;SIM
23456138000103;NÃO;NÃO
23540274000179;SIM;SIM
23638442000163;SIM;SIM
23716188000174;SIM;SIM
23829541000122;SIM;NÃO
23873368000160;NÃO;NÃO
23879180000129;SIM;SIM
23891896000141;SIM;NÃO
23892100000175;SIM;SIM
23892743000119;NÃO;NÃO
24024024000149;SIM;SIM
24025471000112;SIM;SIM
24056078000196;SIM;NÃO
24139813000125;SIM;NÃO
24155987000181;SIM;SIM
24170306000154;SIM;NÃO
24199199000197;NÃO;NÃO
24205264000140;SIM;SIM
24230275000180;NÃO;NÃO
24235014000152;SIM;SIM
24267548000160;SIM;SIM
24279608000165;SIM;NÃO
24305242000151;SIM;NÃO
24327612000151;SIM;NÃO
24365549000148;NÃO;NÃO
24405116000179;NÃO;NÃO
24445860000105;SIM;NÃO
24501384000194;NÃO;NÃO
24525330000169;SIM;NÃO
24537328000100;NÃO;NÃO
24550835000183;NÃO;NÃO
24652295000149;SIM;SIM
24665939000133;SIM;SIM
24768786000150;SIM;SIM
24874375000149;SIM;SIM
24900624000123;SIM;SIM
24900830000133;SIM;SIM
24908951000121;SIM;SIM
24942397000107;SIM;SIM
24951521000192;SIM;SIM
25062770000190;SIM;SIM
25101406000191;SIM;SIM
25267254000100;SIM;NÃO
25271410000106;SIM;SIM
25277531000157;NÃO;NÃO
25337210000109;SIM;NÃO
25359110000175;SIM;SIM
25534627000153;SIM;NÃO
25681947000136;NÃO;NÃO
26033728000103;SIM;SIM
26078564000130;SIM;SIM
26117255002176;NÃO INFORMADO;NÃO INFORMADO
